employee_id,fit_cultural,experiencia_rol,fuente,educacion,departamento,senority,tamano_compania,tipo_compania,empresas_previas,habilidades_cognitivas,perfil_exito
33292,0.579,no,online,graduado,datos,6,10000+,privada,0,0.68,1
20713,0.579,no,online,graduado,datos,1,10000+,privada,1,0.68,1
19768,0.579,no,online,graduado,datos,3,100-500,privada,1,0.66,1
16439,0.579,no,online,graduado,datos,2,100-500,ong,1,0.66,1
22415,0.579,no,online,graduado,datos,1,10/49,privada,0,0.66,1
14216,0.579,no,online,graduado,people,2,100-500,privada,1,0.66,1
32347,0.579,no,online,graduado,datos,13,10000+,privada,5,0.64,1
30955,0.579,no,agencia,graduado,datos,3,100-500,ong,1,0.63,1
21524,0.579,no,agencia,graduado,people,4,10000+,privada,2,0.63,1
17368,0.579,no,agencia,graduado,datos,1,<10,privada,1,0.63,1
33059,0.579,no,agencia,graduado,datos,9,50-99,privada,1,0.62,1
19292,0.579,no,agencia,graduado,datos,4,100-500,publica,1,0.56,1
13052,0.579,no,agencia,graduado,datos,16,10000+,privada,5,0.54,1
7192,0.579,no,agencia,graduado,datos,17,500-999,privada,3,0.54,1
18386,0.579,no,agencia,graduado,datos,1,50-99,publica,1,0.38,1
98,0.579,no,agencia,graduado,datos,6,10/49,privada,5,0.11,1
3771,0.555,no,agencia,graduado,datos,1,100-500,publica,1,0.11,1
24256,0.55,no,agencia,graduado,datos,4,10/49,publica,1,0.74,1
29288,0.55,no,evento,graduado,datos,3,500-999,privada,3,0.65,1
30780,0.55,no,evento,graduado,datos,1,100-500,startup,1,0.61,1
24019,0.55,no,evento,graduado,datos,20,50-99,privada,5,0.6,1
19262,0.55,no,evento,graduado,administracion,4,10000+,privada,3,0.5,1
11409,0.55,no,evento,graduado,datos,20,100-500,privada,5,0.48,1
12597,0.55,no,evento,graduado,finanzas,12,50-99,publica,5,0.48,1
24043,0.54,no,evento,graduado,datos,5,10000+,privada,0,0.9,1
15386,0.52,no,evento,graduado,datos,1,50-99,privada,2,0.12,1
11996,0.52,no,evento,graduado,datos,5,10000+,privada,2,0.1,1
12683,0.52,no,evento,graduado,administracion,1,100-500,startup,1,0.1,1
16483,0.52,no,evento,graduado,datos,1,10000+,privada,2,0.1,1
18294,0.46,no,evento,graduado,datos,2,100-500,startup,2,0.24,1
30751,0.43,no,evento,graduado,datos,6,10000+,privada,1,0.88,1
26519,0.42,no,evento,graduado,datos,9,10/49,privada,3,0.88,1
14461,0.31,no,evento,graduado,datos,1,50-99,privada,1,0.81,1
17073,0.939,si,evento,graduado,datos,10,<10,startup,0,0.78,1
10501,0.939,si,evento,graduado,datos,1,10000+,privada,1,0.72,1
18602,0.939,si,evento,graduado,datos,3,10/49,privada,1,0.71,1
23611,0.939,si,evento,graduado,datos,7,50-99,privada,1,0.7,1
5180,0.939,si,evento,graduado,datos,4,10/49,privada,1,0.7,1
13863,0.939,si,evento,graduado,datos,7,100-500,privada,1,0.7,1
30629,0.939,si,evento,graduado,datos,8,10/49,startup,1,0.7,1
32759,0.939,si,evento,graduado,finanzas,6,100-500,startup,2,0.69,1
25067,0.939,si,evento,graduado,datos,11,<10,privada,5,0.68,1
6563,0.939,si,evento,graduado,datos,3,100-500,privada,5,0.68,1
12369,0.939,si,evento,graduado,datos,5,10/49,privada,1,0.68,1
18246,0.939,si,evento,graduado,datos,6,10/49,privada,0,0.68,1
9018,0.939,si,evento,graduado,datos,6,50-99,privada,1,0.68,1
12885,0.939,si,evento,graduado,datos,5,10/49,startup,2,0.67,1
24257,0.939,si,evento,graduado,operaciones,3,50-99,privada,5,0.67,1
15154,0.939,si,evento,graduado,datos,11,50-99,privada,1,0.66,1
14523,0.939,si,evento,graduado,datos,11,100-500,privada,1,0.66,1
21288,0.939,si,evento,graduado,datos,3,50-99,privada,1,0.65,1
14371,0.939,si,evento,graduado,datos,14,100-500,startup,1,0.65,1
21607,0.939,si,evento,graduado,datos,7,500-999,otra,3,0.65,1
19587,0.939,si,evento,graduado,datos,1,50-99,privada,1,0.65,1
2032,0.939,si,evento,graduado,datos,7,100-500,privada,2,0.65,1
30768,0.939,si,evento,graduado,datos,6,50-99,startup,1,0.64,1
30257,0.939,si,evento,graduado,datos,11,50-99,privada,5,0.63,1
1548,0.939,si,evento,graduado,datos,3,<10,startup,0,0.63,1
25968,0.939,si,evento,graduado,datos,10,100-500,privada,1,0.63,1
11600,0.939,si,evento,graduado,datos,3,10/49,privada,1,0.63,1
15894,0.939,si,evento,graduado,datos,3,50-99,startup,1,0.62,1
8957,0.939,si,evento,graduado,datos,11,<10,startup,0,0.61,1
24212,0.939,si,evento,graduado,datos,6,50-99,privada,5,0.61,1
13372,0.939,si,evento,graduado,datos,2,500-999,ong,1,0.61,1
10675,0.939,si,evento,graduado,datos,5,100-500,privada,1,0.59,1
7814,0.939,si,evento,graduado,people,6,50-99,privada,1,0.58,1
13341,0.939,si,evento,graduado,datos,4,1000-4999,privada,1,0.57,1
23507,0.939,si,evento,graduado,datos,3,50-99,startup,1,0.56,1
30287,0.939,si,evento,graduado,datos,7,50-99,privada,1,0.55,1
23520,0.939,si,evento,graduado,datos,9,10000+,privada,1,0.55,1
1828,0.939,si,evento,graduado,datos,4,50-99,privada,1,0.55,1
8381,0.939,si,evento,graduado,datos,5,5000-9999,privada,2,0.55,1
21480,0.939,si,evento,graduado,datos,4,50-99,startup,3,0.55,1
31453,0.939,si,evento,graduado,datos,4,100-500,privada,4,0.55,1
31229,0.939,si,evento,graduado,datos,6,<10,privada,2,0.55,1
11042,0.939,si,evento,graduado,datos,3,50-99,startup,1,0.54,1
30790,0.939,si,evento,graduado,datos,12,500-999,privada,2,0.54,1
31159,0.939,si,evento,graduado,datos,8,50-99,privada,1,0.54,1
5234,0.939,si,evento,graduado,datos,6,100-500,startup,1,0.54,1
20428,0.939,si,evento,graduado,datos,7,100-500,startup,1,0.54,1
19434,0.939,si,evento,graduado,datos,9,1000-4999,privada,1,0.54,1
2681,0.939,si,evento,graduado,datos,7,10/49,startup,1,0.54,1
19848,0.939,si,evento,graduado,datos,6,10000+,privada,1,0.54,1
21357,0.939,si,evento,graduado,datos,5,10000+,privada,0,0.54,1
6521,0.939,si,evento,graduado,datos,6,<10,startup,3,0.54,1
25359,0.939,si,evento,graduado,datos,4,<10,otra,2,0.54,1
4589,0.939,si,evento,graduado,datos,5,100-500,privada,1,0.54,1
134,0.939,si,evento,graduado,datos,4,50-99,startup,1,0.49,1
19454,0.939,si,evento,graduado,datos,4,50-99,startup,1,0.48,1
19529,0.939,si,evento,graduado,datos,1,1000-4999,privada,1,0.48,1
18398,0.939,si,evento,graduado,datos,10,5000-9999,privada,1,0.48,1
16448,0.939,si,evento,graduado,datos,4,1000-4999,privada,1,0.47,1
12178,0.939,si,evento,graduado,datos,5,50-99,privada,1,0.47,1
24496,0.939,si,evento,graduado,datos,12,500-999,privada,5,0.46,1
22770,0.939,si,evento,graduado,datos,3,100-500,privada,2,0.46,1
3958,0.939,si,evento,graduado,datos,10,10000+,privada,5,0.46,1
3873,0.939,si,evento,graduado,datos,8,10/49,privada,2,0.45,1
16500,0.939,si,evento,graduado,datos,4,100-500,privada,1,0.45,1
24860,0.939,si,evento,graduado,datos,1,<10,startup,1,0.45,1
9030,0.939,si,evento,graduado,datos,12,100-500,startup,1,0.45,1
12164,0.939,si,evento,graduado,datos,11,10000+,privada,0,0.45,1
24333,0.939,si,evento,graduado,datos,12,1000-4999,privada,5,0.45,1
30044,0.939,si,evento,graduado,datos,2,50-99,ong,2,0.45,1
21147,0.939,si,evento,graduado,datos,7,10000+,privada,1,0.45,1
25307,0.939,si,evento,graduado,datos,7,100-500,privada,2,0.45,1
1800,0.939,si,evento,graduado,datos,3,50-99,privada,1,0.44,1
9254,0.939,si,evento,graduado,datos,3,10/49,privada,1,0.44,1
27777,0.939,si,evento,graduado,datos,4,10000+,privada,5,0.44,1
12504,0.939,si,evento,graduado,datos,12,10/49,startup,2,0.44,1
10591,0.939,si,evento,graduado,datos,4,500-999,privada,0,0.44,1
15146,0.939,si,evento,graduado,datos,1,10/49,privada,1,0.44,1
24165,0.939,si,evento,graduado,datos,3,10000+,privada,2,0.43,1
19817,0.939,si,evento,graduado,datos,4,1000-4999,privada,2,0.42,1
22403,0.939,si,evento,graduado,datos,5,5000-9999,privada,4,0.42,1
21745,0.939,si,evento,graduado,datos,1,100-500,privada,1,0.41,1
22401,0.939,si,evento,graduado,datos,11,10000+,privada,2,0.41,1
20529,0.939,si,evento,graduado,datos,6,<10,privada,1,0.4,1
5413,0.939,si,evento,graduado,datos,6,10000+,privada,1,0.4,1
8242,0.939,si,evento,graduado,datos,9,500-999,privada,4,0.4,1
22559,0.939,si,evento,graduado,datos,6,100-500,publica,2,0.4,1
27243,0.939,si,evento,graduado,datos,9,100-500,privada,2,0.39,1
14922,0.939,si,evento,graduado,datos,3,1000-4999,privada,2,0.39,1
31242,0.939,si,evento,graduado,datos,5,50-99,privada,1,0.39,1
6686,0.939,si,evento,graduado,datos,9,<10,privada,2,0.38,1
20697,0.939,si,evento,graduado,datos,4,10/49,startup,1,0.38,1
24045,0.939,si,evento,graduado,datos,3,100-500,ong,1,0.38,1
29611,0.939,si,evento,graduado,datos,16,<10,privada,5,0.38,1
10402,0.939,si,evento,graduado,datos,12,10000+,privada,5,0.38,1
29313,0.939,si,evento,graduado,it,12,10/49,privada,5,0.38,1
27296,0.939,si,evento,graduado,datos,15,100-500,privada,1,0.38,1
359,0.939,si,evento,graduado,datos,9,10000+,privada,5,0.38,1
17622,0.939,si,evento,graduado,datos,13,10000+,privada,1,0.38,1
8164,0.939,si,evento,graduado,datos,5,10000+,privada,3,0.37,1
20429,0.939,si,evento,graduado,people,9,10000+,privada,5,0.37,1
24186,0.939,si,evento,graduado,datos,1,1000-4999,ong,0,0.36,1
18608,0.939,si,evento,graduado,datos,5,100-500,privada,1,0.36,1
14708,0.939,si,evento,graduado,datos,3,500-999,privada,1,0.35,1
30060,0.939,si,evento,graduado,datos,10,100-500,startup,0,0.35,1
2423,0.939,si,evento,graduado,datos,10,1000-4999,privada,1,0.34,1
13579,0.939,si,evento,graduado,datos,6,100-500,privada,1,0.34,1
25010,0.939,si,evento,graduado,datos,6,500-999,privada,0,0.34,1
19975,0.939,si,evento,graduado,datos,9,10000+,privada,5,0.34,1
28320,0.939,si,evento,graduado,datos,8,50-99,startup,3,0.34,1
21501,0.939,si,evento,graduado,datos,6,5000-9999,privada,2,0.34,1
22710,0.939,si,evento,graduado,datos,7,50-99,privada,2,0.15,1
21545,0.939,si,evento,graduado,datos,3,50-99,privada,2,0.13,1
24289,0.939,si,agencia,graduado,datos,5,10000+,privada,2,0.12,1
12604,0.939,si,agencia,graduado,datos,3,10/49,startup,1,0.11,1
9140,0.939,si,agencia,graduado,datos,7,50-99,privada,1,0.11,1
22845,0.939,si,agencia,graduado,datos,5,100-500,privada,3,0.08,1
2220,0.926,si,agencia,graduado,datos,9,50-99,privada,5,0.93,1
4864,0.926,si,agencia,graduado,datos,20,1000-4999,privada,2,0.93,1
2193,0.926,si,agencia,graduado,datos,17,50-99,privada,1,0.91,1
22157,0.926,si,agencia,graduado,datos,4,10000+,privada,2,0.91,1
177,0.926,si,agencia,graduado,datos,9,10000+,privada,5,0.91,1
179,0.926,si,agencia,graduado,operaciones,7,1000-4999,privada,5,0.91,1
6932,0.926,si,agencia,graduado,datos,9,10000+,privada,0,0.91,1
10473,0.926,si,agencia,graduado,datos,2,<10,privada,2,0.91,1
7003,0.926,si,agencia,graduado,datos,10,1000-4999,publica,1,0.91,1
25868,0.926,si,agencia,graduado,datos,5,50-99,privada,1,0.9,1
32806,0.926,si,agencia,graduado,datos,3,100-500,privada,2,0.9,1
29776,0.926,si,agencia,graduado,datos,3,100-500,startup,2,0.9,1
5816,0.926,si,agencia,graduado,datos,9,1000-4999,privada,4,0.9,1
22804,0.926,si,agencia,graduado,datos,7,50-99,privada,1,0.9,1
20655,0.926,si,agencia,graduado,datos,10,1000-4999,privada,0,0.9,1
19185,0.926,si,agencia,graduado,datos,14,10/49,privada,4,0.9,1
17931,0.926,si,agencia,graduado,datos,20,1000-4999,privada,5,0.9,1
15010,0.926,si,agencia,graduado,datos,12,500-999,privada,5,0.9,1
8354,0.926,si,agencia,graduado,datos,6,10/49,startup,1,0.88,1
24307,0.926,si,agencia,graduado,datos,11,500-999,privada,1,0.87,1
4649,0.926,si,agencia,graduado,datos,1,100-500,privada,0,0.87,1
10851,0.926,si,agencia,graduado,datos,5,10000+,privada,1,0.87,1
5609,0.926,si,agencia,graduado,datos,1,10/49,privada,1,0.87,1
24032,0.926,si,agencia,graduado,datos,19,100-500,privada,5,0.87,1
19490,0.926,si,agencia,graduado,datos,9,<10,startup,4,0.87,1
11968,0.926,si,agencia,graduado,datos,6,<10,startup,4,0.87,1
12428,0.926,si,agencia,graduado,datos,10,10000+,privada,2,0.86,1
25350,0.926,si,agencia,graduado,datos,1,<10,startup,1,0.86,1
10490,0.926,si,agencia,graduado,datos,20,10000+,privada,5,0.86,1
33260,0.926,si,agencia,graduado,datos,6,10/49,privada,1,0.86,1
26447,0.926,si,agencia,graduado,datos,7,100-500,privada,1,0.86,1
12534,0.926,si,agencia,graduado,datos,4,500-999,privada,1,0.86,1
21497,0.926,si,agencia,graduado,datos,6,500-999,privada,0,0.86,1
32966,0.926,si,agencia,graduado,datos,3,100-500,privada,2,0.86,1
18105,0.926,si,agencia,graduado,datos,4,10000+,privada,2,0.86,1
23455,0.926,si,agencia,graduado,datos,6,10000+,privada,4,0.86,1
8152,0.926,si,agencia,graduado,datos,4,50-99,privada,2,0.86,1
31447,0.926,si,agencia,graduado,datos,9,1000-4999,privada,0,0.85,1
19834,0.926,si,agencia,graduado,datos,8,5000-9999,privada,0,0.85,1
31835,0.926,si,agencia,graduado,datos,1,<10,startup,1,0.85,1
14696,0.926,si,agencia,graduado,datos,3,50-99,privada,4,0.85,1
22583,0.926,si,agencia,graduado,datos,10,10000+,privada,2,0.85,1
17771,0.926,si,agencia,graduado,datos,10,10000+,privada,1,0.85,1
13308,0.926,si,agencia,graduado,datos,11,1000-4999,privada,1,0.85,1
31135,0.926,si,agencia,graduado,datos,5,10000+,privada,0,0.85,1
12365,0.926,si,agencia,graduado,datos,3,10000+,privada,1,0.85,1
24838,0.926,si,agencia,graduado,datos,8,10000+,privada,1,0.85,1
6511,0.926,si,agencia,graduado,datos,5,50-99,privada,1,0.85,1
21352,0.926,si,agencia,graduado,datos,7,100-500,privada,2,0.85,1
24068,0.926,si,agencia,graduado,datos,3,10/49,publica,1,0.85,1
25000,0.926,si,agencia,graduado,datos,20,100-500,privada,2,0.85,1
6004,0.926,si,agencia,graduado,datos,20,100-500,privada,1,0.85,1
549,0.926,si,agencia,graduado,datos,8,10000+,publica,1,0.85,1
6810,0.926,si,agencia,graduado,datos,7,100-500,privada,2,0.84,1
33350,0.926,si,agencia,graduado,datos,4,<10,privada,3,0.84,1
26846,0.926,si,agencia,graduado,datos,7,500-999,startup,1,0.84,1
24847,0.926,si,agencia,graduado,datos,4,1000-4999,privada,1,0.84,1
19023,0.926,si,agencia,graduado,datos,10,10000+,privada,1,0.84,1
5607,0.926,si,agencia,graduado,datos,9,100-500,privada,1,0.84,1
7786,0.926,si,agencia,graduado,datos,9,100-500,privada,1,0.84,1
30473,0.926,si,agencia,graduado,datos,8,1000-4999,privada,1,0.84,1
10515,0.926,si,agencia,graduado,datos,3,10/49,privada,2,0.84,1
7989,0.926,si,agencia,graduado,datos,3,50-99,startup,1,0.83,1
21289,0.926,si,agencia,graduado,marketing,5,10/49,privada,3,0.83,1
8544,0.926,si,agencia,graduado,datos,9,10/49,startup,1,0.83,1
1730,0.926,si,agencia,graduado,datos,7,10000+,privada,4,0.83,1
17529,0.926,si,agencia,graduado,datos,5,10/49,privada,3,0.83,1
24351,0.926,si,agencia,graduado,datos,5,10000+,privada,0,0.83,1
31227,0.926,si,agencia,graduado,datos,4,10000+,privada,1,0.83,1
5979,0.926,si,agencia,graduado,datos,10,10000+,privada,5,0.82,1
24543,0.926,si,agencia,graduado,datos,7,10000+,privada,3,0.82,1
14556,0.926,si,agencia,graduado,datos,4,5000-9999,privada,0,0.82,1
21616,0.926,si,agencia,graduado,people,12,50-99,privada,5,0.82,1
27869,0.926,si,agencia,graduado,datos,4,1000-4999,privada,1,0.82,1
21600,0.926,si,agencia,graduado,datos,12,<10,startup,1,0.82,1
29960,0.926,si,agencia,graduado,datos,8,100-500,privada,0,0.82,1
19805,0.926,si,agencia,graduado,datos,8,50-99,privada,1,0.82,1
3188,0.926,si,agencia,graduado,datos,8,10000+,ong,0,0.82,1
11446,0.926,si,agencia,graduado,datos,7,1000-4999,privada,2,0.82,1
3690,0.926,si,agencia,graduado,datos,7,100-500,privada,1,0.81,1
30467,0.926,si,agencia,graduado,datos,3,50-99,privada,1,0.81,1
27959,0.926,si,agencia,graduado,datos,6,10000+,privada,2,0.81,1
22505,0.926,si,agencia,graduado,datos,8,100-500,privada,2,0.81,1
19436,0.926,si,agencia,graduado,datos,17,5000-9999,privada,2,0.81,1
22020,0.926,si,agencia,graduado,datos,8,5000-9999,privada,2,0.81,1
11421,0.926,si,agencia,graduado,datos,2,50-99,privada,2,0.81,1
26623,0.926,si,agencia,graduado,datos,2,10/49,startup,1,0.81,1
16590,0.926,si,agencia,graduado,datos,3,100-500,privada,1,0.81,1
8516,0.926,si,agencia,graduado,datos,5,10000+,privada,1,0.8,1
26919,0.926,si,agencia,graduado,datos,5,500-999,privada,1,0.8,1
26910,0.926,si,agencia,graduado,datos,5,500-999,privada,1,0.8,1
453,0.926,si,agencia,graduado,datos,5,10000+,privada,1,0.8,1
28497,0.926,si,agencia,graduado,datos,10,50-99,privada,1,0.79,1
6801,0.926,si,agencia,graduado,datos,4,50-99,privada,1,0.78,1
20481,0.926,si,agencia,graduado,datos,5,10/49,privada,0,0.78,1
8046,0.926,si,agencia,graduado,datos,9,10/49,privada,5,0.78,1
5176,0.926,si,agencia,graduado,datos,7,50-99,startup,2,0.78,1
30140,0.926,si,agencia,graduado,datos,5,50-99,privada,1,0.78,1
9069,0.926,si,agencia,graduado,datos,14,100-500,startup,5,0.78,1
26168,0.926,si,agencia,graduado,datos,9,100-500,startup,1,0.78,1
30414,0.926,si,agencia,graduado,datos,4,10/49,privada,1,0.77,1
31774,0.926,si,agencia,graduado,datos,1,50-99,privada,1,0.77,1
7891,0.926,si,agencia,graduado,datos,3,<10,privada,1,0.76,1
17220,0.926,si,agencia,graduado,datos,7,10000+,privada,3,0.76,1
19645,0.926,si,agencia,graduado,datos,6,10/49,privada,1,0.75,1
11746,0.926,si,agencia,graduado,datos,6,10000+,privada,3,0.74,1
33171,0.926,si,agencia,graduado,datos,5,10/49,startup,1,0.74,1
2414,0.926,si,agencia,graduado,datos,11,10000+,privada,0,0.74,1
5371,0.926,si,agencia,graduado,datos,6,10000+,privada,5,0.74,1
24044,0.926,si,agencia,graduado,datos,3,10000+,privada,1,0.74,1
22454,0.926,si,agencia,graduado,datos,8,10000+,privada,2,0.74,1
7939,0.926,si,agencia,graduado,datos,14,100-500,privada,5,0.74,1
