id_empleado,departamento,region,educacion,cantidad_entrenamientos,edad,desempeno,antiguedad,Objetivos_80,reconocimiento_recibido,score_entrenamiento,promocion
22985,operaciones,region_22,posgrado,10,48,5,6,1,1,62,0
51549,operaciones,region_21,universitario,10,40,5,4,1,1,61,0
23256,Analytics,region_22,universitario,10,29,5,7,0,1,88,1
59933,ventas,region_13,universitario,10,43,5,5,1,1,52,1
43947,ventas,region_2,universitario,10,51,5,6,1,1,48,0
49508,operaciones,region_4,posgrado,10,44,5,3,1,1,59,1
39974,tecnologia,region_2,posgrado,10,52,5,18,1,1,80,0
39614,operaciones,region_15,universitario,10,34,5,4,1,1,65,0
63588,operaciones,region_4,universitario,10,30,5,5,0,1,58,0
70290,compras,region_29,universitario,10,33,5,7,1,1,70,0
41996,ventas,region_5,universitario,10,31,5,5,0,1,49,0
73004,finanzas,region_2,universitario,10,34,5,6,0,1,64,0
66774,operaciones,region_21,universitario,10,43,5,12,1,1,63,0
67690,compras,region_8,universitario,10,27,5,4,0,1,97,1
71263,compras,region_4,universitario,10,38,5,7,1,1,70,0
51901,Analytics,region_31,posgrado,10,42,5,10,0,0,83,0
72669,HR,region_15,posgrado,10,31,5,5,1,0,44,0
41749,ventas,region_7,universitario,10,27,5,4,1,0,46,0
71817,operaciones,region_2,universitario,10,37,5,7,0,0,59,0
65728,operaciones,region_26,universitario,10,30,5,4,1,0,58,0
4325,operaciones,region_2,universitario,10,50,5,16,0,0,54,0
58742,operaciones,region_2,universitario,10,30,5,7,0,0,75,1
65748,operaciones,region_7,posgrado,10,36,5,5,1,0,61,1
46481,finanzas,region_11,universitario,10,30,5,6,0,0,57,0
57478,compras,region_7,universitario,10,31,5,3,1,0,69,0
16169,operaciones,region_26,universitario,10,28,5,5,1,0,59,0
62799,compras,region_10,posgrado,10,32,5,5,0,0,92,1
77442,operaciones,region_19,universitario,10,36,5,8,1,0,57,0
72979,ventas,region_15,universitario,10,42,5,4,0,0,49,0
30490,ventas,region_5,universitario,10,31,5,5,0,0,49,0
19372,Analytics,region_4,universitario,10,35,5,6,1,0,84,0
37335,HR,region_5,universitario,10,33,5,7,0,0,51,0
46098,ventas,region_19,posgrado,10,36,5,9,0,0,49,0
803,ventas,region_22,posgrado,10,43,5,14,0,0,48,0
67036,ventas,region_26,universitario,10,31,5,6,0,0,44,0
19966,ventas,region_27,posgrado,10,37,5,3,0,0,56,1
70170,operaciones,region_13,universitario,10,37,5,5,0,0,62,0
2874,operaciones,region_22,universitario,10,46,5,16,0,0,55,0
67750,Analytics,region_22,tecnico,10,28,5,5,1,1,86,1
25287,ventas,region_2,universitario,10,52,5,7,0,1,53,0
76129,operaciones,region_20,universitario,10,38,5,10,0,1,64,0
49599,Analytics,region_26,universitario,10,28,5,3,1,1,86,0
54342,tecnologia,region_2,universitario,10,36,5,4,1,1,81,0
61493,ventas,region_6,universitario,10,28,5,3,0,1,47,0
65745,operaciones,region_15,posgrado,10,42,5,7,1,1,55,0
33383,ventas,region_2,universitario,10,52,5,25,0,1,51,0
60144,Analytics,region_22,universitario,10,39,5,9,1,1,81,0
63154,ventas,region_7,universitario,10,36,5,10,0,1,49,0
2168,Analytics,region_26,universitario,10,46,5,14,1,0,84,0
42410,operaciones,region_2,universitario,10,39,5,4,1,1,59,0
36467,compras,region_11,universitario,10,27,5,4,1,1,68,0
6218,compras,region_2,universitario,10,36,5,8,1,1,72,0
10087,ventas,region_2,universitario,10,43,5,15,0,1,52,0
70925,operaciones,region_7,universitario,10,34,5,6,1,1,60,0
43849,ventas,region_28,universitario,10,39,5,9,1,0,45,1
41654,ventas,region_2,posgrado,10,60,5,10,1,0,46,0
25569,operaciones,region_2,universitario,10,33,5,8,1,0,65,0
40398,compras,region_2,universitario,10,30,5,3,1,1,75,0
43694,operaciones,region_8,posgrado,10,33,5,7,1,1,56,0
42242,ventas,region_2,universitario,10,52,5,3,0,1,49,0
65436,operaciones,region_7,posgrado,10,58,5,5,1,1,62,0
40368,ventas,region_2,universitario,10,37,5,5,1,1,51,1
53109,compras,region_27,posgrado,10,42,5,8,1,1,73,0
11807,ventas,region_22,tecnico,10,28,5,3,1,1,51,0
69389,operaciones,region_7,universitario,10,32,5,7,0,1,58,0
48537,ventas,region_30,universitario,10,29,5,7,1,1,48,0
4356,Analytics,region_28,universitario,10,38,5,3,1,1,82,0
50171,ventas,region_20,posgrado,10,44,5,7,1,1,48,0
55681,finanzas,region_27,universitario,10,31,5,8,1,1,55,0
18774,operaciones,region_17,universitario,10,31,5,3,1,1,62,0
27577,compras,region_2,universitario,10,31,5,5,1,1,69,0
10603,compras,region_13,universitario,10,33,5,6,1,1,68,0
5004,tecnologia,region_2,universitario,10,56,5,16,1,1,98,1
69849,operaciones,region_30,universitario,10,32,5,7,1,1,59,0
58366,Analytics,region_28,universitario,10,27,5,2,1,1,87,1
52822,operaciones,region_15,universitario,10,49,5,7,1,1,58,0
10462,operaciones,region_2,universitario,10,53,5,11,1,1,56,0
44454,compras,region_7,universitario,10,32,5,3,0,1,80,1
31090,ventas,region_23,universitario,10,31,5,6,0,1,51,0
58333,operaciones,region_20,universitario,10,25,5,2,1,1,59,0
16801,ventas,region_22,posgrado,10,38,5,10,0,0,50,0
65377,Analytics,region_7,universitario,10,29,5,5,1,0,84,0
12344,ventas,region_15,universitario,10,31,5,5,0,0,51,0
16678,operaciones,region_2,universitario,10,32,5,7,1,0,56,0
49753,operaciones,region_7,posgrado,10,38,5,9,1,0,58,0
32859,ventas,region_22,universitario,10,26,5,2,1,0,46,1
41391,operaciones,region_7,posgrado,10,38,5,7,1,0,59,1
1296,compras,region_7,posgrado,10,45,5,13,1,0,68,1
4484,operaciones,region_27,universitario,10,35,5,8,1,0,59,1
50001,ventas,region_31,posgrado,10,49,5,17,1,0,50,0
46645,operaciones,region_22,universitario,10,25,5,4,1,0,55,0
26457,R&D,region_22,universitario,10,31,5,5,1,0,83,0
26660,ventas,region_2,universitario,10,30,5,7,1,0,49,1
68511,Analytics,region_9,universitario,10,36,5,8,1,0,88,0
22005,ventas,region_2,posgrado,10,33,5,4,1,1,50,0
25924,tecnologia,region_7,universitario,10,33,5,6,1,1,81,0
52729,operaciones,region_7,universitario,10,34,5,5,1,1,60,0
22949,Analytics,region_7,universitario,10,36,5,8,1,1,81,1
13309,ventas,region_13,universitario,10,47,5,19,0,1,53,0
39749,ventas,region_22,universitario,10,48,5,3,1,1,47,0
57514,ventas,region_13,universitario,10,29,5,6,0,1,47,0
11745,Analytics,region_2,posgrado,10,51,5,3,0,1,81,0
4596,operaciones,region_15,universitario,10,44,5,4,0,1,59,0
67412,ventas,region_8,universitario,10,34,5,4,0,1,48,0
35337,ventas,region_28,posgrado,10,38,5,8,1,1,47,0
44324,compras,region_2,posgrado,10,46,5,5,1,1,68,1
65773,operaciones,region_7,universitario,10,31,5,3,0,1,60,0
40073,operaciones,region_23,posgrado,10,42,5,10,1,1,58,0
52780,operaciones,region_13,posgrado,10,41,5,6,1,1,62,0
69575,Analytics,region_22,posgrado,10,47,5,22,1,1,83,0
33588,operaciones,region_10,posgrado,10,39,5,11,1,0,59,0
56261,operaciones,region_7,universitario,10,43,5,10,1,0,59,1
10062,finanzas,region_2,posgrado,10,39,5,7,0,0,60,0
53685,operaciones,region_15,universitario,10,44,5,12,1,0,63,1
42170,Analytics,region_13,posgrado,10,35,5,6,1,1,83,0
43312,operaciones,region_5,universitario,10,31,5,8,1,1,59,0
64425,ventas,region_7,universitario,10,42,5,12,0,1,52,0
63461,operaciones,region_16,universitario,10,26,5,3,1,1,61,0
51528,Analytics,region_32,universitario,10,29,5,2,1,1,82,0
43570,operaciones,region_19,universitario,10,45,5,16,0,1,56,0
69552,ventas,region_2,tecnico,10,38,5,7,1,1,47,0
17426,operaciones,region_13,posgrado,10,41,5,15,1,1,64,0
67948,operaciones,region_10,posgrado,10,37,5,6,1,1,58,0
69247,finanzas,region_28,universitario,10,28,5,2,1,1,55,0
54236,tecnologia,region_7,universitario,10,51,5,7,1,1,76,0
59241,ventas,region_22,universitario,9,27,5,1,0,1,52,0
28731,compras,region_7,universitario,9,29,5,1,0,1,68,0
17434,ventas,region_3,universitario,9,32,5,4,0,1,51,0
60527,ventas,region_2,universitario,9,36,5,8,1,1,49,0
62296,operaciones,region_22,posgrado,9,55,5,14,0,1,59,0
15469,Analytics,region_8,posgrado,9,41,5,2,0,1,83,0
30995,compras,region_17,posgrado,9,56,5,6,1,1,70,0
65048,tecnologia,region_17,universitario,9,30,5,6,1,1,80,1
42418,ventas,region_2,universitario,9,51,5,11,1,1,51,0
19640,operaciones,region_22,universitario,9,30,5,2,1,1,58,0
60311,compras,region_14,posgrado,9,38,5,3,1,1,71,1
55893,tecnologia,region_2,universitario,9,55,5,13,1,1,81,0
51019,HR,region_31,universitario,9,29,5,8,1,1,49,0
20156,ventas,region_20,universitario,9,27,5,3,0,1,49,0
40261,HR,region_16,secundario,9,22,5,2,1,1,48,0
41730,tecnologia,region_2,tecnico,9,52,5,10,1,1,82,0
6200,compras,region_2,universitario,9,50,5,6,1,0,71,0
7385,Analytics,region_7,universitario,9,36,5,4,0,0,86,0
59302,compras,region_13,posgrado,9,49,5,3,1,0,70,0
33145,compras,region_31,universitario,9,36,5,9,1,0,68,0
60880,HR,region_25,posgrado,9,32,5,8,1,0,47,0
54742,ventas,region_13,universitario,9,31,5,2,1,0,50,0
22019,operaciones,region_7,universitario,9,37,5,8,1,0,66,0
56449,ventas,region_22,universitario,9,27,5,5,0,0,59,1
29238,HR,region_2,posgrado,9,59,5,13,1,0,52,0
67857,HR,region_2,secundario,9,25,5,4,0,0,49,0
69443,operaciones,region_8,posgrado,9,37,5,5,0,0,59,0
74247,ventas,region_2,posgrado,9,39,5,8,0,0,49,0
13321,HR,region_2,universitario,9,31,5,7,1,0,50,0
47524,ventas,region_25,universitario,9,30,5,2,1,0,55,0
45878,ventas,region_33,universitario,9,37,5,8,0,0,51,0
48527,finanzas,region_7,universitario,9,31,5,7,1,0,57,0
41063,compras,region_2,universitario,9,32,5,7,1,0,71,0
65044,operaciones,region_13,universitario,9,41,5,13,1,0,58,0
30053,compras,region_2,posgrado,9,56,5,24,1,0,69,0
32060,operaciones,region_2,posgrado,9,42,5,5,1,0,61,0
47980,HR,region_23,universitario,9,30,5,5,0,0,43,0
35926,operaciones,region_26,posgrado,9,41,5,8,1,0,58,0
56662,Analytics,region_23,universitario,8,28,5,3,1,0,81,0
77825,compras,region_17,universitario,8,30,5,10,1,0,73,0
38631,ventas,region_4,posgrado,8,38,5,8,0,0,60,1
2088,operaciones,region_2,universitario,8,53,5,19,1,0,60,0
16014,Analytics,region_2,tecnico,8,22,5,2,0,0,84,0
3035,operaciones,region_7,universitario,8,49,5,17,1,0,62,0
15424,operaciones,region_22,posgrado,8,34,5,7,1,0,56,1
16003,operaciones,region_22,universitario,8,37,5,8,1,0,61,0
18015,operaciones,region_7,universitario,8,37,5,4,0,0,54,0
16020,HR,region_2,posgrado,8,46,5,7,0,0,51,0
72933,ventas,region_31,universitario,8,38,5,7,0,0,55,0
67767,operaciones,region_26,universitario,8,27,5,2,1,0,56,0
69111,Analytics,region_2,universitario,8,36,5,5,0,0,91,1
62897,ventas,region_20,universitario,8,27,5,4,1,0,52,0
2472,operaciones,region_34,universitario,8,34,5,6,0,0,55,0
35772,compras,region_2,posgrado,8,35,5,3,0,0,78,1
15082,Analytics,region_15,posgrado,8,32,5,7,0,0,84,0
44564,operaciones,region_2,universitario,8,37,5,9,1,0,62,0
56718,compras,region_17,universitario,8,38,5,2,1,0,73,0
59067,Legal,region_2,posgrado,8,56,5,13,1,0,58,1
5718,operaciones,region_27,posgrado,8,48,5,20,1,0,62,1
38154,ventas,region_24,universitario,8,30,5,2,1,0,52,0
29949,HR,region_31,universitario,8,28,5,6,1,0,48,0
76861,Analytics,region_22,posgrado,8,33,5,3,1,0,94,1
62602,ventas,region_27,posgrado,8,34,5,5,0,0,55,0
20821,HR,region_31,universitario,8,37,5,3,0,0,46,0
6897,Analytics,region_7,universitario,8,40,5,12,0,0,81,0
26219,tecnologia,region_26,universitario,8,28,5,2,1,0,81,1
59578,tecnologia,region_25,posgrado,8,34,5,7,1,0,80,0
8658,operaciones,region_2,universitario,8,50,5,7,1,0,58,0
37235,operaciones,region_16,posgrado,8,36,5,9,0,0,58,0
56864,compras,region_2,universitario,8,33,5,6,1,0,69,0
15143,ventas,region_13,universitario,8,38,5,10,0,0,52,0
72564,ventas,region_16,posgrado,8,31,5,4,0,0,50,0
73466,operaciones,region_15,universitario,8,33,5,7,1,0,56,1
74709,Analytics,region_28,tecnico,8,28,5,4,1,0,84,1
51183,operaciones,region_31,universitario,8,33,5,9,1,0,58,0
76903,Analytics,region_22,posgrado,8,34,5,9,1,0,84,0
69877,HR,region_30,universitario,8,35,5,5,1,0,51,0
2134,ventas,region_1,tecnico,8,33,5,8,0,0,48,0
62044,finanzas,region_28,universitario,8,26,5,2,1,0,60,1
72687,Analytics,region_27,universitario,8,39,5,7,1,0,90,0
1759,operaciones,region_4,universitario,8,50,5,5,1,0,58,0
17323,ventas,region_11,tecnico,8,37,5,8,1,0,53,0
5214,compras,region_21,universitario,8,44,5,5,1,0,67,0
22303,compras,region_2,posgrado,8,34,5,7,1,0,73,1
74778,ventas,region_7,universitario,8,31,5,5,1,0,48,0
26590,ventas,region_27,universitario,8,39,5,4,0,0,68,1
12317,ventas,region_22,universitario,8,28,5,3,1,0,50,1
22787,ventas,region_31,universitario,8,38,5,8,1,0,51,0
23091,HR,region_7,posgrado,8,37,5,3,1,0,50,0
1577,tecnologia,region_11,universitario,8,32,5,6,1,0,77,0
9898,compras,region_20,posgrado,7,38,5,10,1,0,72,0
55114,ventas,region_31,universitario,7,37,5,8,0,0,50,0
26628,Analytics,region_28,posgrado,7,34,5,3,0,0,88,0
67176,operaciones,region_22,posgrado,7,38,5,7,1,0,65,0
43416,Analytics,region_29,universitario,7,29,5,3,0,0,83,0
74844,compras,region_15,posgrado,7,37,5,7,1,0,65,0
44022,HR,region_27,universitario,7,31,5,6,0,0,52,0
252,Analytics,region_22,universitario,7,29,5,3,1,0,89,0
51078,operaciones,region_14,universitario,7,36,5,7,1,0,62,0
52053,R&D,region_22,universitario,7,41,5,10,1,0,86,0
11385,finanzas,region_2,posgrado,7,36,5,11,1,0,55,0
76489,ventas,region_2,posgrado,7,52,5,12,0,0,47,0
25851,ventas,region_19,universitario,7,39,5,8,1,0,47,0
65197,compras,region_7,posgrado,7,41,5,4,1,0,71,0
27998,operaciones,region_16,posgrado,7,41,5,7,1,0,57,0
22036,operaciones,region_22,universitario,7,32,5,8,1,0,58,1
67253,compras,region_2,universitario,7,32,5,3,0,0,73,0
19730,tecnologia,region_7,posgrado,7,51,5,3,0,0,93,1
67288,compras,region_23,universitario,7,29,5,8,1,0,69,0
41039,operaciones,region_27,universitario,7,34,5,5,1,0,55,0
60750,ventas,region_3,posgrado,7,35,5,9,0,0,51,0
5332,compras,region_7,universitario,7,30,5,3,1,0,67,0
31302,finanzas,region_22,posgrado,7,40,5,7,1,0,61,0
46608,finanzas,region_2,posgrado,7,45,5,13,1,0,59,0
48364,compras,region_15,posgrado,7,34,5,10,1,0,68,0
28056,ventas,region_16,universitario,7,27,5,3,1,0,53,1
75848,ventas,region_2,posgrado,7,57,5,13,0,0,50,0
63741,ventas,region_26,tecnico,7,25,5,2,1,0,47,0
77777,Analytics,region_20,universitario,7,29,5,5,1,0,87,0
57721,compras,region_16,universitario,7,37,5,6,1,0,72,0
20920,ventas,region_7,posgrado,7,48,5,15,1,0,53,0
42516,Analytics,region_26,universitario,7,46,5,2,1,0,82,0
19606,ventas,region_4,universitario,7,33,5,2,1,0,49,0
67305,compras,region_2,universitario,6,49,5,7,1,0,70,0
7968,compras,region_13,posgrado,6,36,5,8,1,0,67,1
18375,finanzas,region_7,universitario,6,31,5,7,1,0,62,0
8,ventas,region_7,universitario,6,42,5,6,1,0,52,0
57263,Analytics,region_21,universitario,6,28,5,6,1,0,89,0
999,operaciones,region_21,universitario,6,27,5,4,0,0,63,0
7599,ventas,region_7,posgrado,6,34,5,3,0,0,54,0
57279,operaciones,region_2,universitario,6,26,5,3,1,0,59,0
7666,tecnologia,region_13,universitario,6,26,5,3,1,0,83,0
11741,operaciones,region_26,universitario,6,40,5,6,1,0,61,0
3336,Analytics,region_22,tecnico,6,28,5,5,1,0,88,0
14932,HR,region_28,universitario,6,31,5,3,0,0,54,0
43412,ventas,region_15,universitario,6,27,5,2,0,0,47,0
19734,operaciones,region_22,posgrado,6,48,5,16,0,0,58,0
3742,ventas,region_4,posgrado,6,34,5,7,1,0,92,1
25048,ventas,region_1,posgrado,6,34,5,10,1,0,51,0
3753,operaciones,region_27,universitario,6,39,5,8,1,0,58,0
12298,operaciones,region_32,posgrado,6,41,5,4,0,0,64,0
26999,operaciones,region_17,universitario,6,27,5,1,1,0,59,0
5285,ventas,region_28,posgrado,6,32,5,7,1,0,52,0
71300,HR,region_27,posgrado,6,41,5,9,1,0,51,0
44949,ventas,region_2,tecnico,6,47,5,18,0,0,46,0
16219,ventas,region_8,universitario,6,26,5,2,0,0,51,0
21343,operaciones,region_17,universitario,6,28,5,1,1,0,62,0
11985,ventas,region_11,universitario,6,35,5,4,1,0,51,1
69270,compras,region_20,posgrado,6,34,5,5,1,0,66,0
71713,ventas,region_16,universitario,6,34,5,6,1,0,50,0
47168,ventas,region_3,posgrado,6,33,5,2,1,0,92,1
27325,operaciones,region_2,posgrado,6,41,5,5,1,0,57,0
59539,Analytics,region_3,universitario,6,28,5,4,1,0,88,1
74710,finanzas,region_32,universitario,6,37,5,3,1,0,59,0
13936,compras,region_2,posgrado,6,50,5,18,1,0,73,0
63595,operaciones,region_14,posgrado,6,38,5,12,1,0,56,0
37077,ventas,region_22,universitario,6,38,5,8,1,0,50,0
11637,compras,region_30,posgrado,6,38,5,7,1,0,72,0
55413,compras,region_2,universitario,6,40,5,5,1,0,68,0
65703,tecnologia,region_26,universitario,6,30,5,2,0,0,80,1
55966,ventas,region_26,universitario,6,30,5,5,0,0,48,0
57332,ventas,region_2,posgrado,6,39,5,6,1,0,49,0
25060,compras,region_2,posgrado,5,34,5,2,0,0,69,0
51712,ventas,region_2,universitario,5,34,5,10,1,0,49,1
11031,operaciones,region_2,universitario,5,25,5,2,1,0,60,1
75308,tecnologia,region_22,universitario,5,26,5,2,1,0,81,0
23951,tecnologia,region_28,universitario,5,30,5,4,1,0,79,0
28274,compras,region_6,universitario,5,25,5,2,1,0,68,0
58764,tecnologia,region_28,universitario,5,30,5,3,1,0,78,0
28377,operaciones,region_28,universitario,5,41,5,6,1,0,57,0
45629,Analytics,region_26,universitario,5,43,5,15,0,1,82,0
10315,Analytics,region_22,universitario,5,31,5,7,0,1,80,0
43053,HR,region_13,universitario,5,37,5,10,1,1,47,0
6120,tecnologia,region_17,universitario,5,28,5,2,1,1,78,0
45069,operaciones,region_10,posgrado,5,35,5,9,1,1,58,0
74412,compras,region_13,universitario,5,31,5,4,1,1,73,0
61930,ventas,region_7,universitario,5,37,5,4,0,1,50,0
29837,Analytics,region_7,universitario,5,32,5,5,1,1,81,1
48087,operaciones,region_4,universitario,5,32,5,5,1,1,64,0
27169,operaciones,region_7,posgrado,5,37,5,3,1,1,54,0
41085,Analytics,region_29,universitario,5,30,5,4,0,1,83,1
70455,ventas,region_23,posgrado,5,31,5,9,0,1,50,0
24155,compras,region_15,universitario,5,43,5,17,0,1,65,0
29661,Analytics,region_2,universitario,5,33,5,6,1,1,80,0
72769,ventas,region_2,posgrado,5,50,5,7,1,1,49,0
25932,ventas,region_14,universitario,5,42,5,9,1,1,56,0
58191,ventas,region_19,universitario,5,29,5,4,0,0,53,0
53376,compras,region_2,posgrado,5,53,5,9,1,0,66,0
58406,operaciones,region_15,universitario,5,31,5,5,1,0,60,0
64434,compras,region_21,posgrado,5,36,5,10,1,0,69,0
11951,operaciones,region_19,universitario,5,41,5,10,1,0,58,1
47197,operaciones,region_16,universitario,5,29,5,5,1,0,62,0
8531,ventas,region_23,universitario,5,40,5,14,0,0,51,0
78048,HR,region_4,posgrado,5,32,5,6,1,0,48,0
65078,operaciones,region_15,posgrado,5,44,5,11,1,0,60,0
66234,ventas,region_13,tecnico,5,26,5,2,0,0,51,0
74712,operaciones,region_7,posgrado,5,37,5,9,0,0,70,1
14164,operaciones,region_2,universitario,5,52,5,8,0,0,58,0
58390,compras,region_2,posgrado,5,51,5,8,1,0,68,0
40729,operaciones,region_14,universitario,5,32,5,4,1,0,59,0
73743,HR,region_2,posgrado,5,49,5,18,1,0,51,0
25338,operaciones,region_15,universitario,5,36,5,10,1,0,59,0
19424,ventas,region_16,universitario,5,48,5,19,0,0,48,0
73045,operaciones,region_29,universitario,5,28,5,4,1,0,57,0
62635,Analytics,region_26,universitario,5,26,5,2,1,0,79,0
43380,tecnologia,region_29,universitario,5,30,5,5,1,0,77,0
31129,ventas,region_13,posgrado,5,45,5,5,0,0,47,0
8155,Analytics,region_31,universitario,5,33,5,3,1,0,78,0
39449,ventas,region_26,universitario,5,35,5,9,0,0,46,0
39874,Analytics,region_22,universitario,5,28,5,2,0,0,92,1
29543,finanzas,region_2,universitario,4,31,5,3,1,0,60,0
15024,tecnologia,region_32,universitario,4,32,5,8,0,0,93,1
68518,Analytics,region_22,universitario,4,27,5,3,0,0,86,0
36554,operaciones,region_22,universitario,4,30,5,8,1,0,61,0
3946,tecnologia,region_23,universitario,4,32,5,6,0,0,80,0
28176,Analytics,region_32,universitario,4,29,5,5,1,0,86,0
71564,operaciones,region_20,universitario,4,32,5,5,1,0,60,0
7059,tecnologia,region_25,universitario,4,28,5,3,0,0,79,0
6247,ventas,region_2,universitario,4,33,5,6,0,0,49,0
21057,Analytics,region_2,universitario,4,40,5,5,1,0,88,0
53369,compras,region_16,universitario,4,26,5,3,1,0,71,0
44711,Analytics,region_32,universitario,4,32,5,5,0,0,86,0
44743,Analytics,region_22,universitario,4,29,5,4,0,0,82,1
63436,Analytics,region_4,universitario,4,27,5,6,1,0,85,0
12762,ventas,region_13,universitario,4,32,5,5,0,0,50,0
63449,compras,region_26,universitario,4,29,5,5,1,0,68,0
37412,operaciones,region_22,posgrado,4,41,5,6,0,0,57,0
31528,Analytics,region_22,universitario,4,27,5,4,0,0,84,0
54223,tecnologia,region_22,universitario,4,26,5,3,1,0,79,0
2014,tecnologia,region_7,universitario,4,33,5,7,0,0,81,1
50162,tecnologia,region_22,posgrado,4,33,5,6,0,0,77,0
2848,tecnologia,region_7,posgrado,4,37,5,6,1,0,90,1
31268,R&D,region_22,universitario,4,29,5,2,0,0,85,0
42137,Analytics,region_31,universitario,4,37,5,4,1,0,83,0
31638,R&D,region_22,universitario,4,31,5,2,1,0,82,0
71344,tecnologia,region_15,universitario,4,34,5,7,0,0,76,0
10488,operaciones,region_22,universitario,4,34,5,2,1,0,57,0
50403,tecnologia,region_27,universitario,4,27,5,2,1,0,75,0
29309,tecnologia,region_7,universitario,4,32,5,8,1,0,79,0
48275,operaciones,region_19,universitario,4,36,5,7,1,0,56,0
55904,ventas,region_2,universitario,4,50,5,20,1,0,51,0
25480,R&D,region_26,universitario,4,33,5,4,1,0,86,0
50506,ventas,region_22,universitario,4,26,5,2,0,0,52,0
60089,tecnologia,region_25,universitario,4,31,5,6,0,0,92,1
37371,tecnologia,region_20,universitario,4,34,5,3,1,0,78,0
21355,Analytics,region_22,universitario,4,29,5,2,1,0,87,0
75715,tecnologia,region_15,universitario,4,35,5,5,1,0,79,0
